Rk,Player,Pos,Age,Tm,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS
30,Keita Bates-Diop,PF-SF,24,TOT,44,0,16.9,2.9,0.7,0.4,0.5,0.4,6.5
30,Keita Bates-Diop,PF,24,MIN,37,0,17.5,3,0.8,0.5,0.5,0.4,6.8
30,Keita Bates-Diop,SF,24,DEN,7,0,14,2.4,0,0.3,0.6,0.4,5.3
31,Nicolas Batum,SF,31,CHO,22,3,23,4.5,3,0.8,0.4,1,3.6
32,Aron Baynes,C,33,PHO,42,28,22.2,5.6,1.6,0.2,0.5,1.2,11.5
33,Kent Bazemore,SF,30,TOT,68,21,24.8,4.3,1.4,1.1,0.6,1.3,8.8
33,Kent Bazemore,SF,30,POR,43,21,25.8,4,1.4,1,0.7,1.4,7.9
33,Kent Bazemore,SF,30,SAC,25,0,23.1,4.9,1.3,1.2,0.4,1.2,10.3
34,Darius Bazley,PF,19,OKC,61,9,18.5,4,0.7,0.4,0.7,0.7,5.6
35,Bradley Beal,SG,26,WAS,57,57,36,4.2,6.1,1.2,0.4,3.4,30.5
36,Malik Beasley,SG,23,TOT,55,14,22,2.7,1.4,0.7,0.1,1,11.2
36,Malik Beasley,SG,23,DEN,41,0,18.2,1.9,1.2,0.8,0.1,0.9,7.9
36,Malik Beasley,SG,23,MIN,14,14,33.1,5.1,1.9,0.6,0.1,1.5,20.7
37,Marco Belinelli,SG,33,SAS,57,0,15.5,1.7,1.2,0.2,0,0.3,6.3
38,Jordan Bell,C,25,TOT,29,0,8.8,2.8,0.6,0.1,0.3,0.7,3.2
38,Jordan Bell,C,25,MIN,27,0,8.7,2.9,0.5,0.1,0.4,0.7,3.1
38,Jordan Bell,C,25,MEM,2,0,10.5,1.5,1,0.5,0,1.5,5
39,DeAndre' Bembry,SG,25,ATL,43,4,21.3,3.5,1.9,1.3,0.4,1.4,5.8
40,Dragan Bender,PF-C,22,TOT,16,3,17.9,4.6,1.8,0.3,0.6,1.3,6.7
40,Dragan Bender,C,22,MIL,7,0,13,2.9,1.3,0,0.7,0.7,3.7
40,Dragan Bender,PF,22,GSW,9,3,21.7,5.9,2.1,0.4,0.4,1.8,9
41,Dāvis Bertāns,PF,27,WAS,54,4,29.3,4.5,1.7,0.7,0.6,1.1,15.4
42,Patrick Beverley,PG,31,LAC,51,50,26.3,5.2,3.6,1.1,0.5,1.3,7.9
43,Khem Birch,C,27,ORL,48,24,19.2,4.6,1,0.4,0.5,0.6,4.4
44,Goga Bitadze,C,20,IND,54,2,8.7,2,0.4,0.2,0.7,0.5,3.2
45,Bismack Biyombo,C,27,CHO,53,29,19.4,5.8,0.9,0.2,0.9,0.9,7.4
46,Nemanja Bjelica,PF,31,SAC,72,67,27.9,6.4,2.8,0.9,0.6,1.4,11.5
47,Eric Bledsoe,PG,30,MIL,61,61,27,4.6,5.4,0.9,0.4,2.4,14.9
48,Bogdan Bogdanović,SG,27,SAC,61,28,29,3.4,3.4,1,0.2,1.7,15.1
49,Bojan Bogdanović,SF,30,UTA,63,63,33.1,4.1,2.1,0.5,0.1,2.5,20.2
50,Bol Bol,PF,20,DEN,7,0,12.4,2.7,0.9,0.3,0.9,1.4,5.7
51,Jonah Bolden,C,24,TOT,7,0,6.7,1.3,0,0.4,0.3,0.3,1.4
51,Jonah Bolden,C,24,PHI,4,0,3.5,0.3,0,0.3,0,0.5,1
51,Jonah Bolden,C,24,PHO,3,0,11,2.7,0,0.7,0.7,0,2
52,Marques Bolden,C,21,CLE,1,0,3,2,0,1,0,0,0
53,Jordan Bone,PG,22,DET,10,0,5.3,0.4,0.8,0.1,0,0.2,1.2
54,Isaac Bonga,SF,20,WAS,66,49,18.9,3.4,1.2,0.7,0.3,0.9,5
55,Devin Booker,SG,23,PHO,70,70,35.9,4.2,6.5,0.7,0.3,3.8,26.6
56,Chris Boucher,C,27,TOR,62,0,13.2,4.5,0.4,0.4,1,0.5,6.6
57,Brian Bowen,SF,21,IND,6,1,5.2,1.2,0,0,0.2,0.2,1
58,Ky Bowman,PG,22,GSW,45,12,22.6,2.7,2.9,1,0.2,1.6,7.4
59,Avery Bradley,SG,29,LAL,49,44,24.2,2.3,1.3,0.9,0.1,1,8.6
60,Tony Bradley,C,22,UTA,58,3,11.4,4.6,0.4,0.2,0.6,0.5,4.9
61,Jarrell Brantley,PF,23,UTA,9,0,10.7,2.2,1.2,0.3,0.6,0.8,2.7
62,Ignas Brazdeikis,SF,21,NYK,9,0,5.9,0.6,0.4,0,0.1,0.2,1.9
63,Corey Brewer,PF,33,SAC,5,0,6.6,1.6,0.4,0.8,0,0.4,1
64,Mikal Bridges,SF,23,PHO,73,32,28,4,1.8,1.4,0.6,1,9.1
65,Miles Bridges,SF,21,CHO,65,64,30.7,5.6,1.8,0.6,0.7,1.5,13
66,Oshae Brissett,SF,21,TOR,19,0,7.1,1.4,0.4,0.2,0.1,0.4,1.9
67,Ryan Broekhoff,SF,29,DAL,17,1,10.6,2.5,0.6,0.3,0.2,0.4,4.2
68,Malcolm Brogdon,PG,27,IND,54,54,30.9,4.9,7.1,0.6,0.2,2.4,16.5
69,Dillon Brooks,SG,24,MEM,73,73,28.9,3.3,2.1,0.9,0.4,1.7,16.2
70,Bruce Brown,PG,23,DET,58,43,28.2,4.7,4,1.1,0.5,1.7,8.9
71,Charlie Brown,SG,22,ATL,10,0,4,0.4,0.2,0.2,0.2,0.3,2
72,Jaylen Brown,SG,23,BOS,57,57,33.9,6.4,2.1,1.1,0.4,2.2,20.3
73,Moses Brown,C,20,POR,9,0,3.7,1.6,0.1,0.1,0.1,0.3,1.2
74,Sterling Brown,SF,24,MIL,52,1,14.8,3.5,1,0.6,0.1,0.8,5.1
75,Troy Brown Jr.,SF,20,WAS,69,22,25.8,5.6,2.6,1.2,0.1,1.1,10.4
76,Jalen Brunson,PG,23,DAL,57,16,17.9,2.4,3.3,0.4,0.1,1.2,8.2
77,Thomas Bryant,C,22,WAS,46,36,24.9,7.2,1.8,0.5,1.1,1.2,13.2
78,Reggie Bullock,SG,28,NYK,29,19,23.6,2.3,1.4,0.9,0.1,0.7,8.1
79,Trey Burke,PG,27,TOT,33,1,15.8,1.5,2.5,0.5,0.1,0.6,7.4
79,Trey Burke,PG,27,PHI,25,0,13.2,1.4,2.1,0.3,0,0.5,5.9
79,Trey Burke,PG,27,DAL,8,1,23.9,1.9,3.8,1.1,0.1,1.1,12
80,Alec Burks,SF-SG,28,TOT,66,19,26.6,4.3,2.9,0.9,0.3,1.4,15
80,Alec Burks,SF,28,GSW,48,18,29,4.7,3.1,1,0.4,1.6,16.1
80,Alec Burks,SG,28,PHI,18,1,20.2,3.1,2.1,0.7,0,0.8,12.2
81,Deonte Burton,SF,26,OKC,39,0,9.1,1.5,0.4,0.2,0.3,0.5,2.7
82,Jimmy Butler,SF,30,MIA,58,58,33.8,6.7,6,1.8,0.6,2.2,19.9
83,Bruno Caboclo,C,24,TOT,30,0,8.1,2,0.4,0.5,0.6,0.4,3
83,Bruno Caboclo,C,24,MEM,22,0,8.7,2,0.5,0.5,0.5,0.3,2.8
83,Bruno Caboclo,C,24,HOU,8,0,6.5,2,0.3,0.6,0.6,0.8,3.5
84,Devontae Cacok,C,23,LAL,1,0,9,5,1,0,0,0,6
85,Kentavious Caldwell-Pope,SG,26,LAL,69,26,25.5,2.1,1.6,0.8,0.2,0.9,9.3
86,Vlatko Čančar,PF,22,DEN,14,0,3.2,0.7,0.2,0.1,0.1,0.2,1.2
87,Clint Capela,C,25,HOU,39,39,32.8,13.8,1.2,0.8,1.8,1.6,13.9
88,DeMarre Carroll,SF-C,33,TOT,24,0,12.1,2.3,1,0.3,0.2,0.7,3.6
88,DeMarre Carroll,SF,33,SAS,15,0,9,2.1,0.7,0.1,0.1,0.7,2.2
88,DeMarre Carroll,C,33,HOU,9,0,17.2,2.7,1.6,0.7,0.3,0.8,6
89,Jevon Carter,PG,24,PHO,58,2,16.3,2,1.4,0.8,0.3,0.6,4.9
90,Vince Carter,PF,43,ATL,60,0,14.6,2.1,0.8,0.4,0.4,0.6,5
91,Wendell Carter Jr.,C,20,CHI,43,43,29.2,9.4,1.2,0.8,0.8,1.7,11.3
92,Michael Carter-Williams,SG,28,ORL,45,0,18.5,3.3,2.4,1.1,0.5,1.2,7.2
93,Alex Caruso,PG,25,LAL,64,2,18.4,1.9,1.9,1.1,0.3,0.8,5.5
94,Willie Cauley-Stein,C,26,TOT,54,39,20.3,5.8,1.3,0.9,1.1,0.7,7.2
94,Willie Cauley-Stein,C,26,GSW,41,37,22.9,6.2,1.5,1.1,1.2,0.9,7.9
94,Willie Cauley-Stein,C,26,DAL,13,2,12.1,4.6,0.8,0.3,0.8,0.4,5.2
95,Tyson Chandler,C,37,HOU,26,5,8.4,2.5,0.2,0.2,0.3,0.3,1.3
96,Wilson Chandler,PF,32,BRK,35,3,21,4.1,1.1,0.5,0.3,1,5.9
97,Joe Chealey,PG,24,CHO,4,0,8.3,0,0.3,1,0,0.5,0.5
98,Zylan Cheatham,PF,24,NOP,4,0,12.8,2.3,0.8,0.3,0.3,1,3
99,Chris Chiozza,PG,24,TOT,28,2,14.3,1.9,3,0.8,0.1,1.1,5.1
99,Chris Chiozza,PG,24,WAS,10,0,12.3,1.5,2.8,1,0.2,0.9,2.7
99,Chris Chiozza,PG,24,BRK,18,2,15.4,2.1,3.1,0.6,0.1,1.3,6.4
100,Marquese Chriss,PF,22,GSW,59,21,20.3,6.2,1.9,0.7,1.1,1.3,9.3
101,Gary Clark,SF-PF,25,TOT,42,5,13.5,2.6,0.4,0.1,0.5,0.2,3.7
101,Gary Clark,PF,25,HOU,18,0,11.8,2.2,0.7,0.1,0.4,0.1,3.9
101,Gary Clark,SF,25,ORL,24,5,14.8,2.9,0.2,0.2,0.6,0.3,3.6
102,Brandon Clarke,PF,23,MEM,58,4,22.4,5.9,1.4,0.6,0.8,0.9,12.1
103,Jordan Clarkson,SG,27,TOT,71,2,24,2.6,1.9,0.6,0.2,1.4,15.2
103,Jordan Clarkson,SG,27,CLE,29,0,23,2.4,2.4,0.6,0.3,1.3,14.6
103,Jordan Clarkson,SG,27,UTA,42,2,24.7,2.8,1.6,0.7,0.2,1.4,15.6
104,Nicolas Claxton,C,20,BRK,15,0,12.5,2.9,1.1,0.1,0.5,0.6,4.4
105,Chris Clemons,SG,22,HOU,33,0,8.8,0.9,0.8,0.3,0.2,0.6,4.9
106,Antonius Cleveland,SG,25,DAL,11,0,4.2,0.6,0.1,0.1,0.3,0.2,1
107,Amir Coffey,SG,22,LAC,18,1,8.8,0.9,0.8,0.3,0.1,0.4,3.2
108,John Collins,PF,22,ATL,41,41,33.2,10.1,1.5,0.8,1.6,1.8,21.6
109,Zach Collins,PF,22,POR,11,11,26.4,6.3,1.5,0.5,0.5,1.3,7
110,Mike Conley,PG,32,UTA,47,41,29,3.2,4.4,0.8,0.1,2,14.4
111,Pat Connaughton,SG,27,MIL,67,4,18.6,4.2,1.6,0.4,0.5,0.8,5.4
112,Quinn Cook,PG,26,LAL,44,1,11.5,1.2,1.1,0.3,0,0.8,5.1
113,Tyler Cook,PF-SF,22,TOT,13,0,4.2,1.1,0.1,0.2,0,0.2,1.8
113,Tyler Cook,PF,22,CLE,11,0,3.2,0.9,0.1,0.1,0,0.1,1.7
113,Tyler Cook,SF,22,DEN,2,0,9.5,2,0,1,0,1,2
114,Robert Covington,PF-C,29,TOT,70,68,30.5,6.6,1.3,1.6,1.3,1.5,12.4
114,Robert Covington,PF,29,MIN,48,47,29.4,6,1.2,1.7,0.9,1.5,12.8
114,Robert Covington,C,29,HOU,22,21,33,8,1.5,1.6,2.2,1.4,11.6
115,Allen Crabbe,SG-SF,27,TOT,37,1,17.6,2.1,0.9,0.4,0.1,0.5,4.6
115,Allen Crabbe,SG,27,ATL,28,1,18.6,2.3,1,0.5,0.1,0.4,5.1
115,Allen Crabbe,SF,27,MIN,9,0,14.6,1.3,0.6,0,0,0.6,3.2
116,Torrey Craig,SF,29,DEN,58,27,18.5,3.3,0.8,0.4,0.6,0.4,5.4
117,Jamal Crawford,SG,39,BRK,1,0,6,0,3,0,0,0,5
118,Jae Crowder,SF-PF,29,TOT,65,53,28.8,5.9,2.5,1.1,0.4,1.1,10.5
118,Jae Crowder,SF,29,MEM,45,45,29.4,6.2,2.8,1,0.3,1.2,9.9
118,Jae Crowder,PF,29,MIA,20,8,27.7,5.4,1.8,1.3,0.5,0.8,11.9
119,Jarrett Culver,SG,20,MIN,63,35,23.9,3.4,1.7,0.9,0.6,1.3,9.2
120,Seth Curry,SG,29,DAL,64,25,24.6,2.3,1.9,0.6,0.1,1,12.4
121,Stephen Curry,PG,31,GSW,5,5,27.8,5.2,6.6,1,0.4,3.2,20.8
122,Troy Daniels,SG,28,TOT,47,0,11.3,1.1,0.4,0.2,0.1,0.3,4.3
122,Troy Daniels,SG,28,LAL,41,0,11.1,1.1,0.3,0.2,0.1,0.2,4.2
122,Troy Daniels,SG,28,DEN,6,0,12.7,1,0.5,0.5,0,0.5,4.3
123,Anthony Davis,PF,26,LAL,62,62,34.4,9.3,3.2,1.5,2.3,2.5,26.1
124,Ed Davis,C,30,UTA,28,1,10.8,3.8,0.4,0.4,0.3,0.5,1.8
125,Terence Davis,SG,22,TOR,72,4,16.8,3.3,1.6,0.5,0.2,1.1,7.5
126,Dewayne Dedmon,C,30,TOT,44,18,17.6,5.7,0.5,0.6,0.9,1.3,5.8
126,Dewayne Dedmon,C,30,SAC,34,10,15.9,4.9,0.4,0.4,0.8,1.4,5.1
126,Dewayne Dedmon,C,30,ATL,10,8,23.3,8.2,0.7,1,1.5,1,8.1
127,Matthew Dellavedova,PG,29,CLE,57,4,14.4,1.3,3.2,0.4,0,1,3.1
128,DeMar DeRozan,SF,30,SAS,68,68,34.1,5.5,5.6,1,0.3,2.4,22.1
129,Cheick Diallo,C,23,PHO,47,2,10.2,2.8,0.5,0.2,0.3,0.7,4.7
130,Hamidou Diallo,SF,21,OKC,46,3,19.5,3.6,0.8,0.8,0.2,1.1,6.9
131,Gorgui Dieng,C,30,TOT,63,17,17.4,5.6,1.2,0.8,0.9,1,7.4
131,Gorgui Dieng,C,30,MIN,46,17,16.9,5.6,1.3,0.8,0.9,1,7.4
131,Gorgui Dieng,C,30,MEM,17,0,18.7,5.8,0.9,0.8,1,0.9,7.2
132,Spencer Dinwiddie,PG,26,BRK,64,49,31.2,3.5,6.8,0.6,0.3,2.7,20.6
133,Donte DiVincenzo,SG,23,MIL,66,24,23,4.8,2.3,1.3,0.3,1.4,9.2
134,Luka Dončić,PG,20,DAL,61,61,33.6,9.4,8.8,1,0.2,4.3,28.8
135,Luguentz Dort,SF,20,OKC,36,28,22.8,2.3,0.8,0.9,0.1,0.6,6.8
136,Damyean Dotson,SG,25,NYK,48,0,17.4,1.9,1.2,0.5,0.1,0.4,6.7
137,Sekou Doumbouya,PF,19,DET,38,19,19.8,3.1,0.5,0.5,0.2,0.9,6.4
138,PJ Dozier,SG,23,DEN,29,0,14.2,1.9,2.2,0.5,0.2,0.9,5.8
139,Goran Dragić,PG,33,MIA,59,3,28.2,3.2,5.1,0.7,0.2,2.4,16.2
140,Andre Drummond,C,26,TOT,57,56,33,15.2,2.7,1.9,1.6,3.6,17.7
140,Andre Drummond,C,26,DET,49,48,33.8,15.8,2.8,2,1.7,3.6,17.8
140,Andre Drummond,C,26,CLE,8,8,28.1,11.1,1.8,1.5,1.4,3.6,17.5
141,Jared Dudley,PF,34,LAL,45,1,8.1,1.2,0.6,0.3,0.1,0.2,1.5
142,Kris Dunn,PG,25,CHI,51,32,24.9,3.6,3.4,2,0.3,1.3,7.3
143,Carsen Edwards,SG,21,BOS,37,0,9.5,1.3,0.6,0.3,0.1,0.4,3.3
144,Henry Ellenson,C,23,BRK,5,0,3,1.2,0.2,0,0,0,0.4
145,Wayne Ellington,SG,32,NYK,36,1,15.5,1.8,1.2,0.4,0.1,0.5,5.1
146,Joel Embiid,C,25,PHI,51,51,29.5,11.6,3,0.9,1.3,3.1,23
147,James Ennis,SF-SG,29,TOT,69,18,18.3,3.6,0.9,0.5,0.3,0.8,6.6
147,James Ennis,SF,29,PHI,49,0,15.8,3.1,0.8,0.5,0.3,0.6,5.8
147,James Ennis,SG,29,ORL,20,18,24.5,4.8,1.1,0.6,0.4,1.4,8.5
148,Drew Eubanks,C,22,SAS,22,3,12.4,3.9,0.7,0.2,0.8,1,4.9
149,Jacob Evans,SG,22,TOT,29,1,14.4,1.4,1.1,0.4,0.4,0.9,4.4
149,Jacob Evans,SG,22,GSW,27,1,15.3,1.5,1.1,0.4,0.4,0.9,4.7
149,Jacob Evans,SG,22,MIN,2,0,2,0,0,0,0,0,0
150,Dante Exum,SG,24,TOT,35,1,13.9,1.9,1.1,0.4,0.2,0.9,4.5
150,Dante Exum,SG,24,UTA,11,0,7.5,1.1,0.6,0.1,0.2,0.9,2.2
150,Dante Exum,SG,24,CLE,24,1,16.8,2.3,1.4,0.5,0.3,0.9,5.6
151,Tacko Fall,C,24,BOS,7,0,4.7,2.1,0.1,0.1,0.6,0.4,3.3
152,Derrick Favors,C,28,NOP,51,49,24.4,9.8,1.6,0.6,0.9,1.1,9
153,Cristiano Felício,C,27,CHI,22,0,17.5,4.6,0.7,0.5,0.1,0.8,3.9
154,Terrance Ferguson,SF,21,OKC,56,38,22.4,1.3,0.9,0.5,0.3,0.6,3.9
155,Bruno Fernando,C,21,ATL,56,13,12.7,3.5,0.9,0.3,0.3,0.8,4.3
156,Yogi Ferrell,PG,26,SAC,50,0,10.6,1,1.4,0.4,0.1,0.6,4.4
157,Dorian Finney-Smith,PF,26,DAL,71,68,29.9,5.7,1.6,0.6,0.5,1,9.5
158,Bryn Forbes,SG,26,SAS,63,62,25.1,2,1.7,0.5,0,0.9,11.2
159,Evan Fournier,SF,27,ORL,66,66,31.5,2.6,3.2,1.1,0.2,1.9,18.5
160,De'Aaron Fox,PG,22,SAC,51,49,32,3.8,6.8,1.5,0.5,3.1,21.1
161,Melvin Frazier,SG,23,ORL,19,0,6.6,0.5,0.2,0.5,0.1,0.3,2.1
162,Michael Frazier,SG,25,HOU,13,0,11.2,0.8,0.2,0.2,0,0.4,2.1
163,Tim Frazier,PG,29,DET,27,11,13.1,1.2,3.4,0.5,0.1,1.3,3.6
164,Markelle Fultz,PG,21,ORL,72,60,27.7,3.3,5.1,1.3,0.2,2,12.1
165,Wenyen Gabriel,PF,22,TOT,30,1,7.8,1.7,0.3,0.4,0.2,0.5,2.1
165,Wenyen Gabriel,PF,22,SAC,11,0,5.5,0.9,0.3,0.3,0.2,0.5,1.7
165,Wenyen Gabriel,PF,22,POR,19,1,9.2,2.2,0.3,0.4,0.3,0.6,2.3
166,Daniel Gafford,C,21,CHI,43,7,14.2,2.5,0.5,0.3,1.3,0.7,5.1
167,Danilo Gallinari,PF,31,OKC,62,62,29.6,5.2,1.9,0.7,0.1,1.2,18.7
168,Langston Galloway,SG,28,DET,66,6,25.8,2.3,1.5,0.7,0.2,0.6,10.3
169,Darius Garland,SG,20,CLE,59,59,30.9,1.9,3.9,0.7,0.1,2.6,12.3
170,Marc Gasol,C,35,TOR,44,43,26.4,6.3,3.3,0.8,0.9,1.3,7.5
171,Rudy Gay,PF,33,SAS,67,5,21.8,5.4,1.7,0.5,0.5,1.3,10.8
172,Paul George,SG,29,LAC,48,48,29.6,5.7,3.9,1.4,0.4,2.6,21.5
173,Taj Gibson,C,34,NYK,62,56,16.5,4.3,0.8,0.4,0.5,0.8,6.1
174,Harry Giles,C,21,SAC,46,17,14.5,4.1,1.3,0.5,0.4,1,6.9
175,Shai Gilgeous-Alexander,SG,21,OKC,70,70,34.7,5.9,3.3,1.1,0.7,1.9,19
176,Rudy Gobert,C,27,UTA,68,68,34.3,13.5,1.5,0.8,2,1.9,15.1
177,Brandon Goodwin,PG,24,ATL,34,1,12.6,2.1,1.5,0.4,0.1,0.9,6.1
178,Aaron Gordon,PF,24,ORL,62,62,32.5,7.7,3.7,0.8,0.6,1.6,14.4
179,Eric Gordon,SF,31,HOU,36,15,28.2,2,1.5,0.6,0.4,1.2,14.4
180,Devonte' Graham,PG,24,CHO,63,53,35.1,3.4,7.5,1,0.2,2.9,18.2
181,Treveon Graham,SF,26,TOT,55,20,16.9,2.7,0.8,0.4,0.1,0.5,4.4
181,Treveon Graham,SF,26,MIN,33,20,20.1,3,0.9,0.5,0.1,0.6,5.2
181,Treveon Graham,SF,26,ATL,22,0,12.1,2.3,0.7,0.3,0.2,0.5,3.3
182,Jerami Grant,PF,25,DEN,71,24,26.6,3.5,1.2,0.7,0.8,0.9,12
183,Jerian Grant,SG,27,WAS,6,0,13.3,1,1.5,0.2,0.2,0.5,4.5
184,Josh Gray,PG,26,NOP,2,0,11.5,1,1,0,0,2.5,1
185,Danny Green,SG,32,LAL,68,68,24.8,3.3,1.3,1.3,0.5,0.9,8
186,Draymond Green,PF,29,GSW,43,43,28.4,6.2,6.2,1.4,0.8,2.3,8
187,JaMychal Green,PF,29,LAC,63,1,20.7,6.2,0.8,0.5,0.4,0.9,6.8
188,Javonte Green,SG,26,BOS,48,2,9.8,1.9,0.5,0.5,0.2,0.5,3.4
189,Jeff Green,PF-C,33,TOT,48,4,20,2.8,1,0.5,0.4,0.9,9.4
189,Jeff Green,PF,33,UTA,30,2,18.4,2.7,0.7,0.4,0.3,0.9,7.8
189,Jeff Green,C,33,HOU,18,2,22.6,2.9,1.7,0.8,0.5,0.8,12.2
190,Blake Griffin,PF,30,DET,18,18,28.4,4.7,3.3,0.4,0.4,2.2,15.5
191,Marko Guduric,SG,24,MEM,44,0,11,1.7,1,0.3,0.2,0.8,3.9
192,Kyle Guy,SG,22,SAC,3,0,3.3,0.3,0.3,0,0,0,1.3
193,Rui Hachimura,PF,21,WAS,48,48,30.1,6.1,1.8,0.8,0.2,1.1,13.5
194,Devon Hall,PG,24,OKC,11,0,7.4,0.6,1.2,0.4,0.1,0.5,1.8
195,Donta Hall,C-PF,22,TOT,9,0,14.8,4.2,0.4,0.3,0.7,0.6,4.3
195,Donta Hall,PF,22,DET,4,0,12,3.8,0.5,0.3,0.3,0.5,1.5
195,Donta Hall,C,22,BRK,5,0,17,4.6,0.4,0.4,1,0.6,6.6
196,Dusty Hannahs,SG,26,MEM,2,0,6.5,0.5,0,0,0,0,6
197,Tim Hardaway Jr.,SG,27,DAL,71,58,29.5,3.3,1.9,0.6,0.1,1,15.8
198,James Harden,SG,30,HOU,68,68,36.5,6.6,7.5,1.8,0.9,4.5,34.3
199,Maurice Harkless,PF-SF,26,TOT,62,48,23,3.9,1.1,0.9,0.5,0.9,5.8
199,Maurice Harkless,PF,26,LAC,50,38,22.8,4,1,1,0.6,0.9,5.5
199,Maurice Harkless,SF,26,NYK,12,10,23.8,3.3,1.7,0.8,0.3,0.6,6.8
200,Jared Harper,PG,22,PHO,3,0,2.7,0,0,0,0,0,0.7
201,Montrezl Harrell,C,26,LAC,63,2,27.8,7.1,1.7,0.6,1.1,1.7,18.6
202,Gary Harris,SG,25,DEN,56,55,31.8,2.9,2.1,1.4,0.3,1.1,10.4
203,Joe Harris,SF,28,BRK,69,69,30.8,4.3,2.1,0.6,0.2,1.5,14.5
204,Tobias Harris,PF,27,PHI,72,72,34.3,6.9,3.2,0.7,0.6,1.4,19.6
205,Shaquille Harrison,SG,26,CHI,43,10,11.3,2,1.1,0.8,0.4,0.4,4.9
206,Josh Hart,SF,24,NOP,65,16,27,6.5,1.7,1,0.4,1.2,10.1
207,Isaiah Hartenstein,C,21,HOU,23,2,11.6,3.9,0.8,0.4,0.5,0.7,4.7
208,Udonis Haslem,C,39,MIA,4,1,11,4,0.3,0,0,0.3,3
209,Jaxson Hayes,C,19,NOP,64,14,16.9,4,0.9,0.4,0.9,0.8,7.4
210,Gordon Hayward,SF,29,BOS,52,52,33.5,6.7,4.1,0.7,0.4,1.8,17.5
211,John Henson,C,29,TOT,40,8,15,4.1,1.4,0.6,1.1,0.9,5.5
