Rk,Player,Pos,Age,Tm,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS
263,Derrick Jones Jr.,SF,22,MIA,59,16,23.3,3.9,1.1,1,0.6,0.5,8.5
264,Tyus Jones,PG,23,MEM,65,6,19,1.6,4.4,0.9,0.1,0.8,7.4
265,DeAndre Jordan,C,31,BRK,56,6,22,10,1.9,0.3,0.9,1.3,8.3
266,Cory Joseph,PG,28,SAC,72,26,24.4,2.6,3.5,0.7,0.3,1.1,6.4
267,Mfiondu Kabengele,C,22,LAC,12,0,5.3,0.9,0.2,0.2,0.2,0.2,3.5
268,Frank Kaminsky,C,26,PHO,39,13,19.9,4.5,1.9,0.4,0.3,0.9,9.7
269,Enes Kanter,C,27,BOS,58,7,16.9,7.4,1,0.4,0.7,1,8.1
270,Luke Kennard,SG,23,DET,28,25,32.9,3.5,4.1,0.4,0.2,1.5,15.8
271,Stanton Kidd,SG,27,UTA,4,0,3.8,0.8,0.3,0,0,0.5,0
272,Michael Kidd-Gilchrist,PF,26,TOT,25,0,11.2,2.7,0.6,0.1,0.2,0.6,2.4
272,Michael Kidd-Gilchrist,PF,26,CHO,12,0,13.3,2.9,0.8,0,0.3,0.6,4
272,Michael Kidd-Gilchrist,PF,26,DAL,13,0,9.3,2.5,0.3,0.2,0.2,0.7,0.9
273,Louis King,SF,20,DET,10,0,6.2,1,0.5,0.2,0,0.2,2
274,Maxi Kleber,PF,28,DAL,74,21,25.5,5.2,1.2,0.3,1.1,0.8,9.1
275,Brandon Knight,SG-PG,28,TOT,25,3,18.5,1.6,2.8,0.4,0.1,1.5,7.3
275,Brandon Knight,SG,28,CLE,16,0,15.1,1.3,1.9,0.3,0.1,1,4.9
275,Brandon Knight,PG,28,DET,9,3,24.6,2.3,4.2,0.6,0.1,2.4,11.6
276,Kevin Knox,SF,20,NYK,65,4,17.9,2.8,0.9,0.4,0.4,0.7,6.4
277,John Konchar,SG,23,MEM,19,0,9.5,2.5,1.2,0.4,0.2,0.4,2.8
